AK.BRSE/bp0.01_0.02/AK.BRSE_AV.SSBA_BHZ.P2.CORR.T1T2.SAC 3.400 1 RL 117.99 456.99 f1 1.53 0.80 5.4
AK.BRSE/bp0.01_0.02/AK.BRSE_AV.WEBT_BHZ.P2.CORR.T1T2.SAC -0.600 1 RL 127.78 466.78 f1 1.45 0.89 6.5
AK.BRSE/bp0.01_0.02/AK.BRSE_TA.O14K_BHZ.P2.CORR.T1T2.SAC 1.200 1 RL 33.86 372.86 f1 1.04 0.96 11.6
AK.BRSE/bp0.01_0.02/AK.BRSE_TA.O15K_BHZ.P2.CORR.T1T2.SAC 0.200 1 RL 16.22 355.22 f1 1.06 0.99 12.0
AK.BRSE/bp0.01_0.02/AK.BRSE_TA.R16K_BHZ.P2.CORR.T1T2.SAC 1.100 1 RL 3.20 343.20 f1 1.29 0.97 10.0
AK.BRSE/bp0.01_0.02/AK.BRSE_TA.S12K_BHZ.P2.CORR.T1T2.SAC -0.200 1 RL 80.80 419.80 f1 1.34 0.97 8.2
AK.BRSE/bp0.01_0.02/AK.BRSE_TA.S14K_BHZ.P2.CORR.T1T2.SAC -2.300 1 RL 44.75 383.75 f1 1.44 0.95 8.4
AK.BRSE/bp0.01_0.02/AK.BRSE_XO.EP23_BHZ.P2.CORR.T1T2.SAC 4.300 1 RL 8.66 347.66 f1 1.99 0.71 5.6
AK.BRSE/bp0.01_0.02/AK.BRSE_XO.LA21_BHZ.P2.CORR.T1T2.SAC 0.600 1 RL 46.15 385.15 f1 1.95 0.80 5.7
AK.BRSE/bp0.01_0.02/AK.BRSE_XO.LD41_BHZ.P2.CORR.T1T2.SAC 3.400 1 RL 35.04 374.04 f1 1.98 0.83 6.5
AK.BRSE/bp0.01_0.02/AK.BRSE_XO.WD61_BHZ.P2.CORR.T1T2.SAC 7.600 1 RL 51.42 390.42 f1 2.00 0.77 6.2
AK.BRSE/bp0.01_0.02/AK.BRSE_XO.WD66_BHZ.P2.CORR.T1T2.SAC 4.700 1 RL 100.71 439.71 f1 1.81 0.85 6.5
AK.BRSE/bp0.01_0.02/AK.BRSE_XO.WD67_BHZ.P2.CORR.T1T2.SAC -0.300 1 RL 128.17 467.17 f1 2.17 0.80 5.6
AK.BRSE/bp0.01_0.02/AK.BRSE_XO.WP25_BHZ.P2.CORR.T1T2.SAC -1.400 1 RL 44.28 383.28 f1 1.54 0.97 8.9
AK.BRSE/bp0.01_0.02/AK.BRSE_XO.WS27_BHZ.P2.CORR.T1T2.SAC -0.100 1 RL 66.42 405.42 f1 1.73 0.83 5.5
AK.BRSE/bp0.01_0.02/AK.BRSE_XO.WS28_BHZ.P2.CORR.T1T2.SAC -2.400 1 RL 93.37 432.37 f1 1.82 0.94 5.5
AK.CHI/bp0.01_0.02/AK.CHI_AK.CNP_BHZ.P2.CORR.T1T2.SAC 1.000 1 RL 9.49 348.49 f1 1.35 0.96 8.8
AK.CHI/bp0.01_0.02/AK.CHI_AK.HOM_BHZ.P2.CORR.T1T2.SAC 0.600 1 RL 9.46 348.46 f1 1.54 0.90 6.0
AK.CHI/bp0.01_0.02/AK.CHI_AV.SSBA_BHZ.P2.CORR.T1T2.SAC -0.300 1 RL 23.73 362.73 f1 1.54 0.89 6.4
AK.CHI/bp0.01_0.02/AK.CHI_AV.SSLN_BHZ.P2.CORR.T1T2.SAC 2.600 1 RL 21.70 360.70 f1 1.54 0.72 5.9
AK.CHI/bp0.01_0.02/AK.CHI_AV.WEBT_BHZ.P2.CORR.T1T2.SAC -2.100 1 RL 33.64 372.64 f1 1.41 0.91 7.2
AK.CHI/bp0.01_0.02/AK.CHI_TA.O14K_BHZ.P2.CORR.T1T2.SAC -3.100 1 RL 14.28 353.28 f1 1.35 0.86 7.2
AK.CHI/bp0.01_0.02/AK.CHI_TA.O15K_BHZ.P2.CORR.T1T2.SAC -0.400 1 RL 2.00 340.10 f1 1.41 0.89 10.2
AK.CHI/bp0.01_0.02/AK.CHI_XO.WD67_BHZ.P2.CORR.T1T2.SAC 3.300 1 RL 11.99 350.99 f1 1.98 0.90 7.7
AK.CHN/bp0.01_0.02/AK.CHN_AK.CNP_BHZ.P2.CORR.T1T2.SAC 0.400 1 RL 62.31 401.31 f1 1.34 0.96 7.9
