XO LT14  55.6998 -158.0302 -125.0
XO LT15  55.2002 -158.3598 -167.0
XO LT16  55.4916 -158.6013 -125.0
XO LT17  54.5677 -160.2016 -114.0
XO LT18  54.74 -160.5814 -115.0
XO LT20  54.8002 -161.3746 -150.0
XO WD46  55.521393 -149.703732 -4349.0
XO WD47  54.951352 -150.444792 -3999.0
XO WD48  56.627365 -151.731343 -1324.0
XO WD49  54.399083 -151.89947 -4091.0
XO WD50  55.449527 -152.391763 -4986.6
XO WD51  55.905087 -152.771768 -4361.0
XO WD52  54.046622 -159.346215 -2564.0
XO WD53  53.779448 -153.422908 -4646.0
XO WD54  56.331433 -149.066665 -4520.0
XO WD55  55.761625 -153.662817 -1284.0
XO WD56  55.322267 -154.047078 -4060.0
XO WD57  54.736387 -154.434305 -5053.0
XO WD58  53.906227 -155.035345 -4493.0
XO WD59  53.383713 -155.799387 -4550.0
XO WD60  52.644867 -156.579823 -4519.0
XO WD61  54.647613 -156.868282 -2067.0
XO WD62  53.361962 -157.331882 -4626.0
XO WD63  52.590072 -158.093575 -4656.0
XO WD64  52.001077 -158.691562 -4754.0
XO WD65  52.899057 -158.91238 -4718.0
XO WD66  53.31452 -159.617565 -4941.0
XO WD67  52.162563 -160.035832 -4652.0
XO WD68  52.917603 -160.081145 -4715.0
XO WD69  53.782065 -160.34289 -3896.0
XO WD70  56.541073 -151.234407 -3253.0
XO WP24  56.9241 -158.6603 43.0
XO WP25  56.453 -159.7563 47.0
XO WP30  56.001 -161.2014 41.0
XO WS26  55.9123 -159.1431 36.0
XO WS27  55.2236 -159.9136 41.0
XO WS28  55.0746 -162.2992 45.0
XO WS71  56.15695 -153.078922 -1554.8
XO WS72  56.257748 -151.81063 -4141.7
XO WS73  54.419958 -158.513277 -2132.9
XO WS74  54.369193 -159.361628 -902.9
XO WS75  54.17963 -160.256908 -1108.9
